,code,market,name,Trading time,Transaction price,business day,Year-to-date high,High price,Bulletin board
0,1822,東証1部,大豊建設(株),15:00,"3,350",2020/10/23,"3,345","3,370",掲示板
1,3569,東証1部,セーレン(株),15:00,"1,649",2020/10/26,"1,676","1,680",掲示板
2,4980,東証1部,デクセリアルズ(株),15:00,"1,190",2020/10/28,"1,179","1,300",掲示板
3,5445,東証1部,東京鐵鋼(株),15:00,"1,910",2020/09/28,"1,850","1,973",掲示板
4,5563,東証1部,新日本電工(株),15:00,245,2020/10/29,254,262,掲示板
5,5938,東証1部,(株)ＬＩＸＩＬグループ,15:00,"2,256",2020/10/19,"2,244","2,275",掲示板
6,6902,東証1部,(株)デンソー,15:00,"4,838",2020/01/21,"5,046","5,155",掲示板
7,6954,東証1部,ファナック(株),15:00,"22,050",2020/10/23,"21,730","22,695",掲示板
8,6966,東証1部,(株)三井ハイテック,15:00,"2,117",2020/10/29,"2,207","2,210",掲示板
9,7282,東証1部,豊田合成(株),15:00,"2,638",2020/01/14,"2,798","2,872",掲示板
10,8184,東証1部,(株)島忠,15:00,"5,530",2020/10/29,"5,100","5,650",掲示板
11,9468,東証1部,(株)ＫＡＤＯＫＡＷＡ,15:00,"3,160",2020/10/13,"3,035","3,400",掲示板
12,9962,東証1部,(株)ミスミグループ本社,15:00,"3,090",2020/09/14,"3,125","3,130",掲示板
